date,polarity,subjectivity
2010-05-12,0.0926527148181,0.250191635772
2010-05-13,0.159333229205,0.291802476551
2010-05-14,0.145190867379,0.254484296537
2010-05-15,0.178096850109,0.311181697654
2010-05-16,0.167985086308,0.311675624098
2010-05-17,0.141287243692,0.283277523911
2010-05-18,0.167884948354,0.316368409794
2010-05-19,0.112859039109,0.315222234432
2010-05-20,0.11369757197,0.271163409091
2010-05-21,0.136626166624,0.282181631655
2010-05-22,0.148343940646,0.294458871638
2010-05-23,0.109869411639,0.285589525012
2010-05-24,0.114948826762,0.281680895355
2010-05-25,0.17349415545,0.305155335498
2010-05-26,0.0953921423639,0.223229351991
2010-05-27,0.0984985872114,0.222781305916
2010-05-28,0.0874527279259,0.228531670111
2010-05-29,0.145851601816,0.242500624098
2010-05-30,0.152714601747,0.287644232203
