date,alert,happy,sad,surprise
2010-03-18,0.358543417367,0.49299719888,0.0924369747899,0.0560224089636
2010-03-19,0.424242424242,0.484848484848,0.0454545454545,0.0454545454545
2010-03-20,0.379790940767,0.550522648084,0.0313588850174,0.0383275261324
2010-03-21,0.269503546099,0.617021276596,0.0567375886525,0.0567375886525
2010-03-22,0.334482758621,0.589655172414,0.0620689655172,0.0137931034483
2010-03-23,0.339943342776,0.589235127479,0.0226628895184,0.0481586402266
2010-03-24,0.332335329341,0.580838323353,0.0359281437126,0.0508982035928
2010-03-25,0.315625,0.58125,0.05,0.053125
2010-03-26,0.255060728745,0.643724696356,0.0404858299595,0.0607287449393
2010-03-27,0.271641791045,0.588059701493,0.0358208955224,0.10447761194
2010-03-28,0.314189189189,0.581081081081,0.0743243243243,0.0304054054054
