"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2009","840.24","806.77","841.72","804.30","0","4.35"
"Jan 20, 2009","805.22","849.64","849.64","804.47","0","-5.28"
"Jan 16, 2009","850.12","844.45","858.13","830.66","0","0.76"
"Jan 15, 2009","843.74","841.99","851.59","817.04","0","0.13"
"Jan 14, 2009","842.62","867.28","867.28","836.93","0","-3.35"
"Jan 13, 2009","871.79","869.79","877.02","862.02","0","0.18"
"Jan 12, 2009","870.26","890.40","890.40","864.32","0","-2.26"
"Jan 09, 2009","890.35","909.91","911.93","888.31","0","-2.13"
"Jan 08, 2009","909.73","905.73","910.00","896.81","0","0.34"
"Jan 07, 2009","906.65","927.45","927.45","902.37","0","-3.00"
"Jan 06, 2009","934.70","931.17","943.85","927.28","0","0.78"
"Jan 05, 2009","927.45","929.17","936.63","919.53","0","-0.47"
"Jan 02, 2009","931.80","902.99","934.73","899.35","0","3.16"
"Dec 31, 2008","903.25","890.59","910.32","889.67","0","1.42"
"Dec 30, 2008","890.64","870.58","891.12","870.58","0","2.44"
"Dec 29, 2008","869.42","872.37","873.70","857.07","0","-0.39"
"Dec 26, 2008","872.80","869.51","873.74","866.52","0","0.54"
"Dec 24, 2008","868.15","863.87","869.79","861.44","0","0.58"
"Dec 23, 2008","863.16","874.31","880.44","860.10","0","-0.97"
"Dec 22, 2008","871.63","887.20","887.37","857.09","0","-1.83"
"Dec 19, 2008","887.88","886.96","905.47","883.02","0","0.29"
"Dec 18, 2008","885.28","905.98","911.02","877.44","0","-2.12"
"Dec 17, 2008","904.42","908.16","918.85","895.94","0","-0.96"
"Dec 16, 2008","913.18","871.53","914.66","871.53","0","5.14"
"Dec 15, 2008","868.57","881.07","884.63","857.72","0","-1.27"
"Dec 12, 2008","879.73","871.79","883.24","851.35","0","0.70"
"Dec 11, 2008","873.59","898.35","904.63","868.73","0","-2.85"
"Dec 10, 2008","899.24","892.17","908.27","885.45","0","1.19"
"Dec 09, 2008","888.67","906.48","916.26","885.38","0","-2.31"
"Dec 08, 2008","909.70","882.71","918.57","882.71","0","3.84"
"Dec 05, 2008","876.07","844.43","879.42","818.41","0","3.65"
"Dec 04, 2008","845.22","869.75","875.60","833.60","0","-2.93"
"Dec 03, 2008","870.74","843.60","873.12","827.60","0","2.58"
"Dec 02, 2008","848.81","817.94","850.54","817.94","0","3.99"
"Dec 01, 2008","816.21","888.61","888.61","815.69","0","-8.93"
